"Site";"Superscope";"IpStart";"IpEnd";"Subnets"
"Montreal";"10.108.224.0/21";"10.108.224.0";"10.108.231.255";"10.108.224.0/24 10.108.225.0/24 10.108.226.0/24 10.108.227.0/24 10.108.228.0/24 10.108.229.0/24 10.108.230.0/24 10.108.231.0/24"
"Quebec-1075";"10.1.160.0/22";"10.1.160.0";"10.1.163.255";"10.1.160.0/24 10.1.161.0/24 10.1.162.0/24 10.1.163.0/24"
"Quebec-1075";"10.108.28.0/22";"10.108.28.0";"10.108.30.15";"10.108.28.0/24 10.108.29.0/24 10.108.30.0/28"
"Quebec-1075";"10.108.32.0/20";"10.108.32.0";"10.108.43.255";"10.108.32.0/22 10.108.32.0/20 10.108.32.0/21 10.108.40.0/24 10.108.41.0/24 10.108.42.0/24 10.108.43.0/24"
"Quebec-1075";"10.108.45.0/23";"10.108.45.0";"10.108.46.255";"10.108.45.0/24 10.108.46.0/24"
"Quebec-1075";"10.108.48.0/22";"10.108.48.0";"10.108.51.127";"10.108.48.0/24 10.108.49.0/24 10.108.50.0/24 10.108.51.0/25"
"Quebec-1075";"10.108.52.0/20";"10.108.52.0";"10.108.62.255";"10.108.52.0/24 10.108.53.0/24 10.108.54.0/24 10.108.55.0/24 10.108.56.0/24 10.108.57.0/24 10.108.58.0/24 10.108.59.0/24 10.108.60.0/24 10.108.61.0/24 10.108.62.0/24"
"Quebec-1075";"10.108.64.0/22";"10.108.64.0";"10.108.67.255";"10.108.64.0/24 10.108.65.0/24 10.108.66.0/24 10.108.67.0/24"
"Quebec-1075";"10.108.99.0/23";"10.108.99.0";"10.108.100.79";"10.108.99.0/24 10.108.100.0/26 10.108.100.0/24 10.108.100.64/28"
"Quebec-1075";"10.108.100.96/25";"10.108.100.96";"10.108.100.191";"10.108.100.96/27 10.108.100.128/26"
"Quebec-1075";"10.108.101.0/25";"10.108.101.0";"10.108.101.79";"10.108.101.0/24 10.108.101.0/26 10.108.101.64/28"
"Quebec-1075";"10.108.101.96/25";"10.108.101.96";"10.108.101.223";"10.108.101.96/27 10.108.101.128/26 10.108.101.192/27"
"Quebec-1075";"10.108.102.0/23";"10.108.102.0";"10.108.103.47";"10.108.102.0/24 10.108.103.0/27 10.108.103.0/24 10.108.103.32/28"
"Quebec-1075";"10.108.104.0/22";"10.108.104.0";"10.108.106.255";"10.108.104.0/24 10.108.105.0/24 10.108.106.0/24"
"Quebec-1075";"10.108.108.0/23";"10.108.108.0";"10.108.109.79";"10.108.108.0/23 10.108.109.0/26 10.108.109.64/28"
"Quebec-1075";"10.108.111.128/24";"10.108.111.128";"10.108.112.79";"10.108.111.128/25 10.108.112.0/26 10.108.112.0/24 10.108.112.64/28"
"Quebec-1075";"10.108.113.0/22";"10.108.113.0";"10.108.115.63";"10.108.113.0/24 10.108.114.0/24 10.108.115.0/26"
"Quebec-1075";"10.108.115.80/24";"10.108.115.80";"10.108.115.255";"10.108.115.80/28 10.108.115.96/27 10.108.115.128/26 10.108.115.192/27 10.108.115.224/28 10.108.115.240/28"
"Quebec-1075";"10.108.117.0/23";"10.108.117.0";"10.108.118.23";"10.108.117.0/24 10.108.118.0/29 10.108.118.8/29 10.108.118.16/29"
"Quebec-1075";"10.108.118.32/27";"10.108.118.32";"10.108.118.63";"10.108.118.32/29 10.108.118.40/29 10.108.118.48/29 10.108.118.56/29"
"Quebec-1075";"10.108.119.0/23";"10.108.119.0";"10.108.120.79";"10.108.119.0/24 10.108.120.0/26 10.108.120.64/28"
"Quebec-1075";"10.108.133.0/20";"10.108.133.0";"10.108.141.255";"10.108.133.0/24 10.108.134.0/24 10.108.135.0/24 10.108.136.0/24 10.108.137.0/24 10.108.138.0/24 10.108.139.0/24 10.108.140.0/24 10.108.141.0/24"
"Quebec-1075";"10.108.176.0/23";"10.108.176.0";"10.108.177.255";"10.108.176.0/24 10.108.177.0/24"
"Quebec-1075";"10.108.208.0/20";"10.108.208.0";"10.108.223.255";"10.108.208.0/24 10.108.209.0/24 10.108.210.0/24 10.108.211.0/24 10.108.212.0/24 10.108.213.0/24 10.108.214.0/24 10.108.215.0/24 10.108.216.0/24 10.108.217.0/24 10.108.218.0/24 10.108.219.0/24 10.108.220.0/24 10.108.221.0/24 10.108.222.0/24 10.108.223.0/24"
"Quebec-net";"10.108.111.0/25";"10.108.111.0";"10.108.111.79";"10.108.111.0/26 10.108.111.64/28"
"Releve-ULaval";"10.108.255.32/26";"10.108.255.32";"10.108.255.95";"10.108.255.32/28 10.108.255.48/28 10.108.255.64/28 10.108.255.80/28"
